id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing,mid_lat,mid_long
S835047,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,14,vil,6/26/19 21:32,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,138836,835047,Hail,35.01574155,-96.06784434,38.31128716,-91.57442612,#NAME?,384,384,384000,384000,0,254,0.29070948,36.66351436,-93.82113523
S818395,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,15,vil,5/14/19 18:53,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,136366,818395,Thunderstorm Wind,43.72669812,-112.4814396,47.62172095,-108.324275,#NAME?,384,384,384000,384000,0,254,0.428571429,45.67420954,-110.4028573
S833894,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,16,vil,6/9/19 18:45,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138065,833894,Thunderstorm Wind,31.12144628,-98.90183787,34.53610814,-94.74727613,#NAME?,384,384,384000,384000,0,254,0.217181217,32.82877721,-96.824557
S825114,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,17,vil,5/3/19 14:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,137406,825114,Thunderstorm Wind,26.27904584,-99.43681511,29.72760194,-95.52061891,#NAME?,384,384,384000,384000,0,254,0,28.00332389,-97.47871701
S792176,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,18,vil,1/3/19 21:45,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,132402,792176,Funnel Cloud,26.27115456,-82.95457501,29.05762086,-78.49458982,#NAME?,384,384,384000,384000,0,199,0,27.66438771,-80.72458242
S795292,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,19,vil,1/4/19 19:56,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,132921,795292,Thunderstorm Wind,28.18461535,-84.13067707,31.00894984,-79.59970544,#NAME?,384,384,384000,384000,0,254,0,29.5967826,-81.86519126
S835883,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,20,vil,6/13/19 0:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138963,835883,Heavy Rain,41.57172653,-119.0010403,45.65234677,-115.383504,#NAME?,384,384,384000,384000,0,254,0,43.61203665,-117.1922722
S816030,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,21,vil,3/23/19 23:10,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135996,816030,Funnel Cloud,37.05919522,-123.6051087,41.24240693,-120.4120332,#NAME?,384,384,384000,384000,0,253,0,39.15080108,-122.008571
S833564,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,22,vil,6/1/19 18:28,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,138635,833564,Hail,40.56106928,-86.09440475,43.40120798,-80.7137606,#NAME?,384,384,384000,384000,0,254,0,41.98113863,-83.40408268
S805592,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,23,vil,3/11/19 0:45,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,134455,805592,Lightning,35.22273199,-123.4386077,39.39715613,-120.276267,#NAME?,384,384,384000,384000,0,216,0,37.30994406,-121.8574374
S822148,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,24,vil,6/26/19 22:51,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,136957,822148,Thunderstorm Wind,25.51366846,-84.22914819,28.36194578,-79.85000029,#NAME?,384,384,384000,384000,0,254,0.347118698,26.93780712,-82.03957424
S808982,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,25,vil,4/7/19 22:34,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,134986,808982,Hail,38.12215951,-94.93554344,41.36429003,-90.17718957,#NAME?,384,384,384000,384000,0,254,0,39.74322477,-92.55636651
S810940,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,26,vil,4/26/19 20:20,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135257,810940,Hail,34.9198937,-106.4581157,38.60028124,-102.4441873,#NAME?,384,384,384000,384000,0,254,0,36.76008747,-104.4511515
S818371,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,27,vil,5/27/19 1:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136357,818371,Thunderstorm Wind,35.70401273,-84.04311173,38.47448634,-78.99632087,#NAME?,384,384,384000,384000,0,254,0,37.08924954,-81.5197163
S819602,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,28,vil,4/13/19 10:36,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,136627,819602,Hail,29.61811657,-102.7485573,33.1752933,-98.81587859,#NAME?,384,384,384000,384000,0,254,0.213528519,31.39670494,-100.7822179
S815906,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,29,vil,5/27/19 23:27,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,135968,815906,Hail,38.54358436,-106.7106747,42.23453707,-102.5180226,#NAME?,384,384,384000,384000,0,254,0,40.38906072,-104.6143487
S819830,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,30,vil,4/30/19 22:35,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136648,819830,Hail,28.89503207,-103.5540403,32.48156646,-99.68260272,#NAME?,384,384,384000,384000,0,254,0,30.68829927,-101.6183215
S816992,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,31,vil,5/29/19 12:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136137,816992,Heavy Rain,38.35964944,-97.86237222,41.72052274,-93.22811007,#NAME?,384,384,384000,384000,0,130,0,40.04008609,-95.54524115
S840507,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,32,vil,6/23/19 4:58,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,139746,840507,Hail,33.42632708,-102.6323512,36.97361489,-98.51779698,#NAME?,384,384,384000,384000,0,254,0.408163265,35.19997099,-100.5750741
S815500,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,33,vil,5/26/19 21:18,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,135896,815500,Hail,42.80146556,-106.196405,46.48010501,-101.7004169,#NAME?,384,384,384000,384000,0,254,0,44.64078529,-103.948411
S795744,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,34,vil,2/4/19 21:05,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,133010,795744,Funnel Cloud,34.40641081,-121.0005656,38.51894198,-117.7273361,#NAME?,384,384,384000,384000,0,225,0,36.4626764,-119.3639509
S825312,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,35,vil,6/18/19 0:58,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,137431,825312,Thunderstorm Wind,37.45512401,-86.31093751,40.3211983,-81.21611238,#NAME?,384,384,384000,384000,0,254,0.308621846,38.88816116,-83.76352495
S822059,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,36,vil,6/26/19 23:50,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136985,822059,Hail,40.03452516,-106.0237041,43.70296316,-101.7039859,#NAME?,384,384,384000,384000,0,254,0.359378045,41.86874416,-103.863845
S817831,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,37,vil,5/25/19 17:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136288,817831,Thunderstorm Wind,37.97513753,-82.93900627,40.67883601,-77.65703631,#NAME?,384,384,384000,384000,0,254,0,39.32698677,-80.29802129
S817783,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,38,vil,5/19/19 22:04,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,136276,817783,Thunderstorm Wind,36.12999589,-84.12393944,38.90164472,-79.04638974,#NAME?,384,384,384000,384000,0,254,0,37.51582031,-81.58516459
S835788,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,39,vil,6/24/19 23:20,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,138938,835788,Thunderstorm Wind,37.13081253,-83.57127651,39.87015291,-78.38856691,#NAME?,384,384,384000,384000,0,254,0.552559297,38.50048272,-80.97992171
S802989,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,40,vil,3/9/19 17:02,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,134106,802989,Tornado,33.06856515,-93.90259003,36.28257926,-89.43851386,#NAME?,384,384,384000,384000,0,254,0,34.67557221,-91.67055195
S815783,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,41,vil,3/14/19 7:43,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,135253,815783,Flood,39.65232886,-98.77084931,43.04796455,-94.08867337,#NAME?,384,384,384000,384000,0,150,0,41.35014671,-96.42976134
S836485,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,42,vil,6/18/19 22:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,139070,836485,Hail,45.51053454,-113.2413861,49.43635352,-109.022652,#NAME?,384,384,384000,384000,0,254,0.373105973,47.47344403,-111.1320191
S834212,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,43,vil,6/13/19 21:01,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,138718,834212,Thunderstorm Wind,37.42757307,-80.08786136,39.9953405,-74.73802391,#NAME?,384,384,384000,384000,0,254,0.098650805,38.71145679,-77.41294264
S801808,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,44,vil,2/21/19 6:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,133955,801808,Hail,29.55877506,-93.13048016,32.75516725,-88.83623538,#NAME?,384,384,384000,384000,0,254,0,31.15697116,-90.98335777
S817689,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,45,vil,4/8/19 2:16,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,136093,817689,Hail,38.87876786,-89.43428157,41.88071648,-84.35885465,#NAME?,384,384,384000,384000,0,254,0,40.37974217,-86.89656811
S823789,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,46,vil,5/21/19 3:35,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,137246,823789,Thunderstorm Wind,34.58007948,-97.32307158,37.92629147,-92.91153437,#NAME?,384,384,384000,384000,0,254,0,36.25318548,-95.11730298
S817358,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,47,vil,5/13/19 19:52,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,136209,817358,Hail,29.99463546,-104.2626441,33.6035968,-100.3740803,#NAME?,384,384,384000,384000,0,254,0.203174409,31.79911613,-102.3183622
S821175,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,48,vil,6/23/19 10:49,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,136863,821175,Tornado,33.57188566,-95.84261595,36.86224109,-91.42833335,#NAME?,384,384,384000,384000,0,254,0.272677398,35.21706338,-93.63547465
S809593,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,49,vil,2/19/19 23:15,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,135079,809593,Hail,31.94691736,-89.58147862,34.98572208,-85.01647961,#NAME?,384,384,384000,384000,0,254,0.103289892,33.46631972,-87.29897912
S840550,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,50,vil,6/22/19 22:39,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,139751,840550,Thunderstorm Wind,38.06908327,-97.17750531,41.40294852,-92.53047197,#NAME?,384,384,384000,384000,0,254,0.583652072,39.7360159,-94.85398864
S817877,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,51,vil,5/26/19 19:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,136292,817877,Thunderstorm Wind,37.8636964,-84.39877424,40.63796371,-79.18796921,#NAME?,384,384,384000,384000,0,254,0,39.25083006,-81.79337173
S819657,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,52,vil,5/23/19 5:19,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,136629,819657,Thunderstorm Wind,38.34972648,-91.96214687,41.46510466,-87.04671579,#NAME?,384,384,384000,384000,0,254,0,39.90741557,-89.50443133
S842399,vil/2019/SEVIR_VIL_STORMEVENTS_2019_0101_0630.h5,53,vil,6/27/19 21:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,140016,842399,Thunderstorm Wind,41.88757848,-91.39980777,44.96745311,-86.15146106,#NAME?,384,384,384000,384000,0,254,0.262565768,43.4275158,-88.77563442
